Company	Role / Position	Company Type	Funding / Stage	Tech Stack Match	Job URL / Careers Page	Application Status	Date Applied	Source / Platform	LinkedIn Company Page	HR / Recruiter Outreach Title	Suggested Outreach Channel	Follow-Up Date	Last Follow-Up	Response Received	Interview Stage	Interview Date	Notes	Salary Range (Monthly INR)	Salary Range (LPA)	Location	Work Mode	Priority	Cold Message Template ID
Incresco	Software Engineer - Full Stack / Backend (NestJS / Next.js)	Product-Based (Regional SaaS & High-Impact Tech (TN/Coimbatore/Chennai))	Unicorn / Scaled Product	★★★★★ NestJS Next.js 16 Go TypeScript PostgreSQL	https://www.increscotech.com/about/careers/	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/incresco/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		Coimbatore/TN Regional tech hub. Immediate availability, local presence advantage, full-stack capabilities.	₹35K-₹65K	5-9 LPA	Coimbatore / Chennai / Hybrid	Hybrid / Remote	★★★★☆ HIGH	MSG-COIMBATORE
KGISL	Software Engineer - Full Stack / Backend (NestJS / Next.js)	Product-Based (Regional SaaS & High-Impact Tech (TN/Coimbatore/Chennai))	Unicorn / Scaled Product	★★★★★ NestJS Next.js 16 Go TypeScript PostgreSQL	https://www.kgisl.com/careers/	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/kgisl/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		Coimbatore/TN Regional tech hub. Immediate availability, local presence advantage, full-stack capabilities.	₹35K-₹65K	5-9 LPA	Coimbatore / Chennai / Hybrid	Hybrid / Remote	★★★★☆ HIGH	MSG-COIMBATORE
Kalvium	Software Engineer - Full Stack / Backend (NestJS / Next.js)	Product-Based (Regional SaaS & High-Impact Tech (TN/Coimbatore/Chennai))	Unicorn / Scaled Product	★★★★★ NestJS Next.js 16 Go TypeScript PostgreSQL	https://kalvium.com/careers/	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/kalvium/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		Coimbatore/TN Regional tech hub. Immediate availability, local presence advantage, full-stack capabilities.	₹35K-₹65K	5-9 LPA	Coimbatore / Chennai / Hybrid	Hybrid / Remote	★★★★☆ HIGH	MSG-COIMBATORE
Kapture CX	Backend Engineer / SDE I (NestJS / TypeScript)	Product-Based (SaaS, CRM & Cloud Platforms)	Unicorn / Scaled Product	★★★★★ NestJS TypeScript PostgreSQL Prisma AsyncLocalStorage	https://www.kapturecrm.com/careers/	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/kapturecrm/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		SaaS CRM match. Highlight ProductCRM multi-tenant AsyncLocalStorage isolation & DeepSeek MCP AI Copilot.	₹40K-₹75K	6-10 LPA	Chennai / Bangalore / Remote	Hybrid / Remote	★★★★☆ HIGH	MSG-SAAS
KovaiSoft	Software Engineer - Full Stack / Backend (NestJS / Next.js)	Product-Based (Regional SaaS & High-Impact Tech (TN/Coimbatore/Chennai))	Unicorn / Scaled Product	★★★★★ NestJS Next.js 16 Go TypeScript PostgreSQL	https://kovaisoft.in/join-us	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/kovaisoft/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		Coimbatore/TN Regional tech hub. Immediate availability, local presence advantage, full-stack capabilities.	₹35K-₹65K	5-9 LPA	Coimbatore / Chennai / Hybrid	Hybrid / Remote	★★★★☆ HIGH	MSG-COIMBATORE
LatentView Analytics	Software Engineer - Full Stack / Backend (NestJS / Next.js)	Product-Based (Regional SaaS & High-Impact Tech (TN/Coimbatore/Chennai))	Unicorn / Scaled Product	★★★★★ NestJS Next.js 16 Go TypeScript PostgreSQL	https://www.latentview.com/careers/	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/latentview-analytics/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		Coimbatore/TN Regional tech hub. Immediate availability, local presence advantage, full-stack capabilities.	₹35K-₹65K	5-9 LPA	Coimbatore / Chennai / Hybrid	Hybrid / Remote	★★★★☆ HIGH	MSG-COIMBATORE
M2P Fintech	Software Engineer - Backend (Go / Node.js)	Product-Based (Fintech & Payments)	Unicorn / Scaled Product	★★★★★ Go Node.js PostgreSQL Redis Kafka	https://m2pfintech.com/careers/	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/m2p-fintech/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		Fintech domain match. Highlight TaxiBy Cashfree double-entry wallet ledger & NestJS/Go microservices.	₹50K-₹85K	7-12 LPA	Bangalore / Chennai / Hybrid	Hybrid / Remote	★★★★☆ HIGH	MSG-FINTECH
Matrimony.com	Software Engineer - Full Stack / Backend (NestJS / Next.js)	Product-Based (Regional SaaS & High-Impact Tech (TN/Coimbatore/Chennai))	Unicorn / Scaled Product	★★★★★ NestJS Next.js 16 Go TypeScript PostgreSQL	https://www.matrimony.com/careers/	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/matrimony-com/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		Coimbatore/TN Regional tech hub. Immediate availability, local presence advantage, full-stack capabilities.	₹35K-₹65K	5-9 LPA	Coimbatore / Chennai / Hybrid	Hybrid / Remote	★★★★☆ HIGH	MSG-COIMBATORE
Meesho	SDE I / Backend Engineer (NestJS / Go)	Product-Based (Mobility, Quick-Commerce & Logistics)	Unicorn / Scaled Product	★★★★★ NestJS Uber H3 Redis WebSockets Kafka	https://www.meesho.io/jobs	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/meesho/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		Mobility/Logistics match. Highlight TaxiBy Uber H3 Hexagonal spatial index (<2ms dispatch) and GPS debouncing.	₹45K-₹80K	6-11 LPA	Bangalore / Chennai / Hybrid	Hybrid / Remote	★★★★☆ HIGH	MSG-MOBILITY
Mindtickle	Software Engineer (Backend / Distributed Systems)	Product-Based (Enterprise & Consumer Tech)	Unicorn / Scaled Product	★★★★☆ NestJS Go Node.js TypeScript Redis Docker	https://www.mindtickle.com/careers/	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/mindtickle/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		High scale product engineering. Strong DSA + System Design + production NestJS/Go microservices experience.	₹60K-₹110K	8-16 LPA	Bangalore / Hyderabad / Remote	Hybrid / Remote	★★★★☆ HIGH	MSG-GENERAL
Myntra	SDE I / Backend Engineer (NestJS / Go)	Product-Based (Mobility, Quick-Commerce & Logistics)	Unicorn / Scaled Product	★★★★★ NestJS Uber H3 Redis WebSockets Kafka	https://careers.myntra.com/	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/myntra/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		Mobility/Logistics match. Highlight TaxiBy Uber H3 Hexagonal spatial index (<2ms dispatch) and GPS debouncing.	₹45K-₹80K	6-11 LPA	Bangalore / Chennai / Hybrid	Hybrid / Remote	★★★★☆ HIGH	MSG-MOBILITY
Onwords	Software Engineer - Full Stack / Backend (NestJS / Next.js)	Product-Based (Regional SaaS & High-Impact Tech (TN/Coimbatore/Chennai))	Unicorn / Scaled Product	★★★★★ NestJS Next.js 16 Go TypeScript PostgreSQL	https://www.onwords.in/careers	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/onwords/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		Coimbatore/TN Regional tech hub. Immediate availability, local presence advantage, full-stack capabilities.	₹35K-₹65K	5-9 LPA	Coimbatore / Chennai / Hybrid	Hybrid / Remote	★★★★☆ HIGH	MSG-COIMBATORE
Pricol	Software Engineer - Full Stack / Backend (NestJS / Next.js)	Product-Based (Regional SaaS & High-Impact Tech (TN/Coimbatore/Chennai))	Unicorn / Scaled Product	★★★★★ NestJS Next.js 16 Go TypeScript PostgreSQL	https://www.pricol.com/careers/	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/pricol/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		Coimbatore/TN Regional tech hub. Immediate availability, local presence advantage, full-stack capabilities.	₹35K-₹65K	5-9 LPA	Coimbatore / Chennai / Hybrid	Hybrid / Remote	★★★★☆ HIGH	MSG-COIMBATORE
Prodapt	Software Engineer - Full Stack / Backend (NestJS / Next.js)	Product-Based (Regional SaaS & High-Impact Tech (TN/Coimbatore/Chennai))	Unicorn / Scaled Product	★★★★★ NestJS Next.js 16 Go TypeScript PostgreSQL	https://www.prodapt.com/careers/	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/prodapt/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		Coimbatore/TN Regional tech hub. Immediate availability, local presence advantage, full-stack capabilities.	₹35K-₹65K	5-9 LPA	Coimbatore / Chennai / Hybrid	Hybrid / Remote	★★★★☆ HIGH	MSG-COIMBATORE
Ramco Systems	Software Engineer - Full Stack / Backend (NestJS / Next.js)	Product-Based (Regional SaaS & High-Impact Tech (TN/Coimbatore/Chennai))	Unicorn / Scaled Product	★★★★★ NestJS Next.js 16 Go TypeScript PostgreSQL	https://www.ramco.com/careers	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/ramco-systems/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		Coimbatore/TN Regional tech hub. Immediate availability, local presence advantage, full-stack capabilities.	₹35K-₹65K	5-9 LPA	Coimbatore / Chennai / Hybrid	Hybrid / Remote	★★★★☆ HIGH	MSG-COIMBATORE
Relyon Softech	Software Engineer - Full Stack / Backend (NestJS / Next.js)	Product-Based (Regional SaaS & High-Impact Tech (TN/Coimbatore/Chennai))	Unicorn / Scaled Product	★★★★★ NestJS Next.js 16 Go TypeScript PostgreSQL	https://relyonsoft.com/careers/	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/relyon-softech/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		Coimbatore/TN Regional tech hub. Immediate availability, local presence advantage, full-stack capabilities.	₹35K-₹65K	5-9 LPA	Coimbatore / Chennai / Hybrid	Hybrid / Remote	★★★★☆ HIGH	MSG-COIMBATORE
Rocketlane	Backend Engineer / SDE I (NestJS / TypeScript)	Product-Based (SaaS, CRM & Cloud Platforms)	Unicorn / Scaled Product	★★★★★ NestJS TypeScript PostgreSQL Prisma AsyncLocalStorage	https://rocketlane.com/careers	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/rocketlane/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		SaaS CRM match. Highlight ProductCRM multi-tenant AsyncLocalStorage isolation & DeepSeek MCP AI Copilot.	₹40K-₹75K	6-10 LPA	Chennai / Bangalore / Remote	Hybrid / Remote	★★★★☆ HIGH	MSG-SAAS
Soliton Technologies	Software Engineer - Full Stack / Backend (NestJS / Next.js)	Product-Based (Regional SaaS & High-Impact Tech (TN/Coimbatore/Chennai))	Unicorn / Scaled Product	★★★★★ NestJS Next.js 16 Go TypeScript PostgreSQL	https://solitontech.com/careers/	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/soliton-technologies/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		Coimbatore/TN Regional tech hub. Immediate availability, local presence advantage, full-stack capabilities.	₹35K-₹65K	5-9 LPA	Coimbatore / Chennai / Hybrid	Hybrid / Remote	★★★★☆ HIGH	MSG-COIMBATORE
Stripe	Software Engineer - Backend (Go / Node.js)	Product-Based (Fintech & Payments)	Unicorn / Scaled Product	★★★★★ Go Node.js PostgreSQL Redis Kafka	https://stripe.com/jobs	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/stripe/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		Fintech domain match. Highlight TaxiBy Cashfree double-entry wallet ledger & NestJS/Go microservices.	₹50K-₹85K	7-12 LPA	Bangalore / Chennai / Hybrid	Hybrid / Remote	★★★★☆ HIGH	MSG-FINTECH
Tiger Analytics	Software Engineer - Full Stack / Backend (NestJS / Next.js)	Product-Based (Regional SaaS & High-Impact Tech (TN/Coimbatore/Chennai))	Unicorn / Scaled Product	★★★★★ NestJS Next.js 16 Go TypeScript PostgreSQL	https://www.tigeranalytics.com/careers/	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/tiger-analytics/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		Coimbatore/TN Regional tech hub. Immediate availability, local presence advantage, full-stack capabilities.	₹35K-₹65K	5-9 LPA	Coimbatore / Chennai / Hybrid	Hybrid / Remote	★★★★☆ HIGH	MSG-COIMBATORE
Toast	Software Engineer - Full Stack / Backend (NestJS / Next.js)	Product-Based (Regional SaaS & High-Impact Tech (TN/Coimbatore/Chennai))	Unicorn / Scaled Product	★★★★★ NestJS Next.js 16 Go TypeScript PostgreSQL	https://careers.toasttab.com/india	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/toast-inc/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		Coimbatore/TN Regional tech hub. Immediate availability, local presence advantage, full-stack capabilities.	₹35K-₹65K	5-9 LPA	Coimbatore / Chennai / Hybrid	Hybrid / Remote	★★★★☆ HIGH	MSG-COIMBATORE
Whatfix	Backend Engineer / SDE I (NestJS / TypeScript)	Product-Based (SaaS, CRM & Cloud Platforms)	Unicorn / Scaled Product	★★★★★ NestJS TypeScript PostgreSQL Prisma AsyncLocalStorage	https://whatfix.com/careers/	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/whatfix/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		SaaS CRM match. Highlight ProductCRM multi-tenant AsyncLocalStorage isolation & DeepSeek MCP AI Copilot.	₹40K-₹75K	6-10 LPA	Chennai / Bangalore / Remote	Hybrid / Remote	★★★★☆ HIGH	MSG-SAAS
Zerodha	Software Engineer - Backend (Go / Node.js)	Product-Based (Fintech & Payments)	Unicorn / Scaled Product	★★★★★ Go Node.js PostgreSQL Redis Kafka	https://zerodha.com/careers/	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/zerodha/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		Fintech domain match. Highlight TaxiBy Cashfree double-entry wallet ledger & NestJS/Go microservices.	₹50K-₹85K	7-12 LPA	Bangalore / Chennai / Hybrid	Hybrid / Remote	★★★★☆ HIGH	MSG-FINTECH
Zoho	Backend Engineer / SDE I (NestJS / TypeScript)	Product-Based (SaaS, CRM & Cloud Platforms)	Unicorn / Scaled Product	★★★★★ NestJS TypeScript PostgreSQL Prisma AsyncLocalStorage	https://www.zoho.com/careers/	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/zoho/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		SaaS CRM match. Highlight ProductCRM multi-tenant AsyncLocalStorage isolation & DeepSeek MCP AI Copilot.	₹40K-₹75K	6-10 LPA	Chennai / Bangalore / Remote	Hybrid / Remote	★★★★☆ HIGH	MSG-SAAS
Zuper	Backend Engineer / SDE I (NestJS / TypeScript)	Product-Based (SaaS, CRM & Cloud Platforms)	Unicorn / Scaled Product	★★★★★ NestJS TypeScript PostgreSQL Prisma AsyncLocalStorage	https://www.zuper.co/careers/	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/zuper/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		SaaS CRM match. Highlight ProductCRM multi-tenant AsyncLocalStorage isolation & DeepSeek MCP AI Copilot.	₹40K-₹75K	6-10 LPA	Chennai / Bangalore / Remote	Hybrid / Remote	★★★★☆ HIGH	MSG-SAAS
Acko	Software Engineer - Backend (Go / Node.js)	Product-Based (Fintech & Payments)	Unicorn / Scaled Product	★★★★★ Go Node.js PostgreSQL Redis Kafka	https://www.acko.com/careers/	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/acko/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		Fintech domain match. Highlight TaxiBy Cashfree double-entry wallet ledger & NestJS/Go microservices.	₹50K-₹85K	7-12 LPA	Bangalore / Chennai / Hybrid	Hybrid / Remote	★★★☆☆ MEDIUM	MSG-FINTECH
Adobe	Software Engineer (Backend / Distributed Systems)	Product-Based (Enterprise & Consumer Tech)	Unicorn / Scaled Product	★★★★☆ NestJS Go Node.js TypeScript Redis Docker	https://careers.adobe.com/	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/adobe/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		High scale product engineering. Strong DSA + System Design + production NestJS/Go microservices experience.	₹60K-₹110K	8-16 LPA	Bangalore / Hyderabad / Remote	Hybrid / Remote	★★★☆☆ MEDIUM	MSG-GENERAL
AiDash	Software Engineer (Backend / Distributed Systems)	Product-Based (Enterprise & Consumer Tech)	Unicorn / Scaled Product	★★★★☆ NestJS Go Node.js TypeScript Redis Docker	https://www.aidash.com/careers/	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/aidash/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		High scale product engineering. Strong DSA + System Design + production NestJS/Go microservices experience.	₹60K-₹110K	8-16 LPA	Bangalore / Hyderabad / Remote	Hybrid / Remote	★★★☆☆ MEDIUM	MSG-GENERAL
Airbnb	Software Engineer (Backend / Distributed Systems)	Product-Based (Enterprise & Consumer Tech)	Unicorn / Scaled Product	★★★★☆ NestJS Go Node.js TypeScript Redis Docker	https://careers.airbnb.com/	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/airbnb/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		High scale product engineering. Strong DSA + System Design + production NestJS/Go microservices experience.	₹60K-₹110K	8-16 LPA	Bangalore / Hyderabad / Remote	Hybrid / Remote	★★★☆☆ MEDIUM	MSG-GENERAL
Amazon	Software Engineer (Backend / Distributed Systems)	Product-Based (Enterprise & Consumer Tech)	Unicorn / Scaled Product	★★★★☆ NestJS Go Node.js TypeScript Redis Docker	https://www.amazon.jobs/	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/amazon/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		High scale product engineering. Strong DSA + System Design + production NestJS/Go microservices experience.	₹60K-₹110K	8-16 LPA	Bangalore / Hyderabad / Remote	Hybrid / Remote	★★★☆☆ MEDIUM	MSG-GENERAL
Atlys	Software Engineer (Backend / Distributed Systems)	Product-Based (Enterprise & Consumer Tech)	Unicorn / Scaled Product	★★★★☆ NestJS Go Node.js TypeScript Redis Docker	https://www.atlys.com/careers	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/atlys/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		High scale product engineering. Strong DSA + System Design + production NestJS/Go microservices experience.	₹60K-₹110K	8-16 LPA	Bangalore / Hyderabad / Remote	Hybrid / Remote	★★★☆☆ MEDIUM	MSG-GENERAL
BigBasket	SDE I / Backend Engineer (NestJS / Go)	Product-Based (Mobility, Quick-Commerce & Logistics)	Unicorn / Scaled Product	★★★★★ NestJS Uber H3 Redis WebSockets Kafka	https://www.bigbasket.com/careers/	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/bigbasket-com/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		Mobility/Logistics match. Highlight TaxiBy Uber H3 Hexagonal spatial index (<2ms dispatch) and GPS debouncing.	₹45K-₹80K	6-11 LPA	Bangalore / Chennai / Hybrid	Hybrid / Remote	★★★☆☆ MEDIUM	MSG-MOBILITY
Cisco	Software Engineer (Backend / Distributed Systems)	Product-Based (Enterprise & Consumer Tech)	Unicorn / Scaled Product	★★★★☆ NestJS Go Node.js TypeScript Redis Docker	https://jobs.cisco.com/	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/cisco/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		High scale product engineering. Strong DSA + System Design + production NestJS/Go microservices experience.	₹60K-₹110K	8-16 LPA	Bangalore / Hyderabad / Remote	Hybrid / Remote	★★★☆☆ MEDIUM	MSG-GENERAL
ClearFeed	Software Engineer (Backend / Distributed Systems)	Product-Based (Enterprise & Consumer Tech)	Unicorn / Scaled Product	★★★★☆ NestJS Go Node.js TypeScript Redis Docker	https://clearfeed.ai/careers	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/clearfeed/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		High scale product engineering. Strong DSA + System Design + production NestJS/Go microservices experience.	₹60K-₹110K	8-16 LPA	Bangalore / Hyderabad / Remote	Hybrid / Remote	★★★☆☆ MEDIUM	MSG-GENERAL
Cloudflare	Backend / Platform Engineer (Go / Node.js)	Product-Based (Developer Tools & Infra)	Unicorn / Scaled Product	★★★★★ Go Node.js Microservices gRPC Kafka KrakenD	https://www.cloudflare.com/careers/	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/cloudflare/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		DevTools & Infra match. Highlight 11 Go microservices with Kafka Transactional Outbox pattern & KrakenD API Gateway (8k req/s).	₹50K-₹90K	7-14 LPA	Bangalore / Remote	Hybrid / Remote	★★★☆☆ MEDIUM	MSG-GOLANG
Cohesity	Software Engineer (Backend / Distributed Systems)	Product-Based (Enterprise & Consumer Tech)	Unicorn / Scaled Product	★★★★☆ NestJS Go Node.js TypeScript Redis Docker	https://www.cohesity.com/careers/	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/cohesity/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		High scale product engineering. Strong DSA + System Design + production NestJS/Go microservices experience.	₹60K-₹110K	8-16 LPA	Bangalore / Hyderabad / Remote	Hybrid / Remote	★★★☆☆ MEDIUM	MSG-GENERAL
Confluent	Backend / Platform Engineer (Go / Node.js)	Product-Based (Developer Tools & Infra)	Unicorn / Scaled Product	★★★★★ Go Node.js Microservices gRPC Kafka KrakenD	https://www.confluent.io/careers/	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/confluent/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		DevTools & Infra match. Highlight 11 Go microservices with Kafka Transactional Outbox pattern & KrakenD API Gateway (8k req/s).	₹50K-₹90K	7-14 LPA	Bangalore / Remote	Hybrid / Remote	★★★☆☆ MEDIUM	MSG-GOLANG
Datadog	Backend / Platform Engineer (Go / Node.js)	Product-Based (Developer Tools & Infra)	Unicorn / Scaled Product	★★★★★ Go Node.js Microservices gRPC Kafka KrakenD	https://careers.datadoghq.com/	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/datadog/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		DevTools & Infra match. Highlight 11 Go microservices with Kafka Transactional Outbox pattern & KrakenD API Gateway (8k req/s).	₹50K-₹90K	7-14 LPA	Bangalore / Remote	Hybrid / Remote	★★★☆☆ MEDIUM	MSG-GOLANG
Dream11	Software Engineer (Backend / Distributed Systems)	Product-Based (Enterprise & Consumer Tech)	Unicorn / Scaled Product	★★★★☆ NestJS Go Node.js TypeScript Redis Docker	https://www.dreamsports.group/careers/	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/dream11/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		High scale product engineering. Strong DSA + System Design + production NestJS/Go microservices experience.	₹60K-₹110K	8-16 LPA	Bangalore / Hyderabad / Remote	Hybrid / Remote	★★★☆☆ MEDIUM	MSG-GENERAL
Enterpret	Software Engineer (Backend / Distributed Systems)	Product-Based (Enterprise & Consumer Tech)	Unicorn / Scaled Product	★★★★☆ NestJS Go Node.js TypeScript Redis Docker	https://www.enterpret.com/careers	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/enterpret/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		High scale product engineering. Strong DSA + System Design + production NestJS/Go microservices experience.	₹60K-₹110K	8-16 LPA	Bangalore / Hyderabad / Remote	Hybrid / Remote	★★★☆☆ MEDIUM	MSG-GENERAL
Fireflies.ai	Software Engineer (Backend / Distributed Systems)	Product-Based (Enterprise & Consumer Tech)	Unicorn / Scaled Product	★★★★☆ NestJS Go Node.js TypeScript Redis Docker	https://fireflies.ai/careers	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/fireflies-ai/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		High scale product engineering. Strong DSA + System Design + production NestJS/Go microservices experience.	₹60K-₹110K	8-16 LPA	Bangalore / Hyderabad / Remote	Hybrid / Remote	★★★☆☆ MEDIUM	MSG-GENERAL
Games24x7	Software Engineer (Backend / Distributed Systems)	Product-Based (Enterprise & Consumer Tech)	Unicorn / Scaled Product	★★★★☆ NestJS Go Node.js TypeScript Redis Docker	https://www.games24x7.com/careers	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/games24x7/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		High scale product engineering. Strong DSA + System Design + production NestJS/Go microservices experience.	₹60K-₹110K	8-16 LPA	Bangalore / Hyderabad / Remote	Hybrid / Remote	★★★☆☆ MEDIUM	MSG-GENERAL
GitLab	Backend / Platform Engineer (Go / Node.js)	Product-Based (Developer Tools & Infra)	Unicorn / Scaled Product	★★★★★ Go Node.js Microservices gRPC Kafka KrakenD	https://about.gitlab.com/jobs/	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/gitlab-com/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		DevTools & Infra match. Highlight 11 Go microservices with Kafka Transactional Outbox pattern & KrakenD API Gateway (8k req/s).	₹50K-₹90K	7-14 LPA	Bangalore / Remote	Hybrid / Remote	★★★☆☆ MEDIUM	MSG-GOLANG
Gnani.ai	Software Engineer (Backend / Distributed Systems)	Product-Based (Enterprise & Consumer Tech)	Unicorn / Scaled Product	★★★★☆ NestJS Go Node.js TypeScript Redis Docker	https://gnani.ai/careers	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/gnani-ai/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		High scale product engineering. Strong DSA + System Design + production NestJS/Go microservices experience.	₹60K-₹110K	8-16 LPA	Bangalore / Hyderabad / Remote	Hybrid / Remote	★★★☆☆ MEDIUM	MSG-GENERAL
